year,population,male,female,life exp.,Sex Ratio (per thousand males)
1901,238396327,121442330,116953997,22.01,963.0414453
1911,252093390,129054906,123038484,22.15,953.3809122
1921,251321213,129225688,122095525,21.16,944.8239502
1931,278977238,143766155,135211083,29.97,940.4931432
1941,318660580,164676893,153983687,31.61,935.0655347
1951,361088090,185554003,175534087,35.8,946.0000009
1961,438936918,226139577,212797341,41.74,940.9999958
1971,548159652,284020545,264139107,48.06,930.0000005
1981,685184692,354397884,330786808,53.95,933.3769273
1991,846303988,439182142,407121846,58.15,927.0000008
2001,1028737436,532223090,496514346,62.69,932.9064359
2011,1210193422,623724248,586469174,66.87,940.2699605
,,,,,
2021,1124938922,581790729,543148193,70.79,933.5800073
2031,1213823128,627850092,585973036,75.33,933.3008683
2041,1302707334,673909454,628797880,79.87,933.0598885
2051,1391591541,719968829,671622712,84.41,932.8497081
